Date,SECB,PGOLD,AP,MWC,GLO
"12/20/2024","87.50","31.000","37.70","26.000","2080.00"
"12/19/2024","85.95","30.200","37.70","25.700","2048.00"
"12/18/2024","87.50","30.600","37.40","26.050","2030.00"
"12/17/2024","85.00","30.450","37.25","25.950","2026.00"
"12/16/2024","86.30","30.250","37.20","26.150","2064.00"
"12/13/2024","86.90","31.000","36.70","25.600","2076.00"
"12/12/2024","83.10","30.500","37.25","25.200","2080.00"
"12/11/2024","84.00","30.450","37.50","25.300","2088.00"
"12/10/2024","83.20","30.400","37.50","25.300","2100.00"
"12/09/2024","83.20","30.200","37.20","25.200","2100.00"
"12/06/2024","85.00","30.000","36.50","25.500","2116.00"
"12/05/2024","85.20","30.900","37.00","25.650","2074.00"
"12/04/2024","85.00","30.800","37.15","25.500","2108.00"
"12/03/2024","85.15","30.850","37.30","25.700","2102.00"
"12/02/2024","86.80","30.700","37.30","25.850","2130.00"
"11/29/2024","86.80","30.600","37.30","25.650","2100.00"
"11/28/2024","85.50","30.900","37.30","26.100","2100.00"
"11/27/2024","83.85","30.900","37.20","27.000","2116.00"
"11/26/2024","86.55","31.400","37.35","27.100","2100.00"
"11/25/2024","89.00","30.500","37.95","27.500","2100.00"
"11/22/2024","84.50","30.000","37.85","27.200","2100.00"
"11/21/2024","84.00","30.400","37.75","27.150","2100.00"
"11/20/2024","85.00","30.200","37.55","26.500","2160.00"
"11/19/2024","84.65","29.850","37.50","26.850","2134.00"
"11/18/2024","82.00","30.000","36.80","27.100","2088.00"
"11/15/2024","81.00","29.400","37.15","26.200","2118.00"
"11/14/2024","80.00","29.300","36.90","25.150","2060.00"
"11/13/2024","79.10","29.900","37.50","25.000","2060.00"
"11/12/2024","80.05","31.600","37.55","26.000","2090.00"
"11/11/2024","86.50","31.700","37.55","26.050","2134.00"
"11/08/2024","86.00","32.000","37.50","25.500","2180.00"
"11/07/2024","87.15","30.950","37.50","25.500","2142.00"
"11/06/2024","92.00","31.750","37.70","26.100","2186.00"
"11/05/2024","91.80","31.750","37.50","26.450","2168.00"
"11/04/2024","91.70","31.650","37.50","26.250","2146.00"
"10/31/2024","92.05","32.600","37.50","26.250","2146.00"
"10/30/2024","92.95","31.900","37.80","25.550","2166.00"
"10/29/2024","92.00","32.000","37.35","25.800","2100.00"
"10/28/2024","94.05","32.950","37.80","26.400","2266.00"
"10/25/2024","93.30","33.000","37.80","26.300","2274.00"
"10/24/2024","92.50","32.350","37.40","26.000","2260.00"
"10/23/2024","95.00","32.900","38.00","26.900","2310.00"
"10/22/2024","94.50","32.800","38.05","26.900","2390.00"
"10/21/2024","95.90","32.950","38.00","26.250","2414.00"
"10/18/2024","97.60","33.000","37.90","26.600","2420.00"
"10/17/2024","99.15","33.200","38.10","27.000","2430.00"
"10/16/2024","97.00","34.450","39.75","27.500","2420.00"
"10/15/2024","98.20","33.000","38.10","27.000","2450.00"
"10/14/2024","94.00","32.500","37.75","26.950","2406.00"
"10/11/2024","94.20","32.000","37.70","26.900","2420.00"
"10/10/2024","94.90","32.550","38.15","27.100","2390.00"
"10/09/2024","91.00","32.800","38.65","27.900","2420.00"
"10/08/2024","95.30","33.400","38.80","28.000","2460.00"
"10/07/2024","98.70","33.850","38.25","28.400","2460.00"
"10/04/2024","98.75","31.200","38.00","27.200","2400.00"
"10/03/2024","98.95","31.600","38.25","27.200","2404.00"
"10/02/2024","97.05","31.450","38.05","27.150","2430.00"
"10/01/2024","97.00","31.550","38.20","27.350","2400.00"
"09/30/2024","95.95","31.500","38.10","26.550","2274.00"
"09/27/2024","96.35","32.050","38.50","26.400","2258.00"
"09/26/2024","96.30","32.000","37.50","26.400","2220.00"
"09/25/2024","95.80","30.600","37.00","26.650","2222.00"
"09/24/2024","97.95","30.400","36.70","26.600","2260.00"
"09/23/2024","96.50","30.400","37.65","26.900","2292.00"
"09/20/2024","89.50","29.700","36.90","28.200","2290.00"
"09/19/2024","84.10","30.050","37.90","28.350","2292.00"
"09/18/2024","82.00","29.300","36.95","29.300","2240.00"
"09/17/2024","77.30","29.000","36.70","29.500","2276.00"
"09/16/2024","77.45","29.200","36.70","28.600","2210.00"
"09/13/2024","77.35","29.000","36.65","28.400","2210.00"
"09/12/2024","77.05","29.850","36.45","28.900","2202.00"
"09/11/2024","77.20","30.000","36.30","28.050","2236.00"
"09/10/2024","77.30","30.250","36.00","28.950","2244.00"
"09/09/2024","78.20","30.850","35.95","29.650","2210.00"
"09/06/2024","71.80","30.000","35.20","28.600","2218.00"
"09/05/2024","69.00","29.100","35.10","26.550","2234.00"
"09/04/2024","65.95","28.150","35.50","27.200","2228.00"
"09/03/2024","63.35","27.900","35.35","26.950","2232.00"
"09/02/2024","62.70","28.100","35.75","27.200","2224.00"
"08/30/2024","60.00","27.750","35.70","27.200","2200.00"
"08/29/2024","61.00","27.400","35.45","26.350","2238.00"
"08/28/2024","61.20","27.050","35.65","26.000","2258.00"
"08/27/2024","60.15","27.400","35.50","26.000","2252.00"
"08/22/2024","60.60","27.350","36.65","25.900","2228.00"
"08/21/2024","61.25","27.650","36.20","25.950","2220.00"
"08/20/2024","61.30","27.700","35.50","25.900","2260.00"
"08/19/2024","62.00","27.200","35.30","26.650","2290.00"
"08/16/2024","61.60","26.250","36.10","25.950","2282.00"
"08/15/2024","61.15","26.050","35.20","25.950","2280.00"
"08/14/2024","62.80","26.500","34.20","26.300","2338.00"
"08/13/2024","62.60","26.000","34.15","26.150","2318.00"
"08/12/2024","64.00","26.800","34.00","25.750","2312.00"
"08/09/2024","64.20","26.600","33.90","26.050","2296.00"
"08/08/2024","63.80","26.000","34.00","26.250","2228.00"
"08/07/2024","64.00","26.250","33.85","25.900","2230.00"
"08/06/2024","64.00","25.400","33.40","25.700","2178.00"
"08/05/2024","64.00","25.400","33.30","25.800","2140.00"
"08/02/2024","65.45","26.050","33.70","26.400","2218.00"
"08/01/2024","65.95","26.300","33.25","26.650","2162.00"
"07/31/2024","64.40","26.300","33.05","27.100","2152.00"
"07/30/2024","63.85","25.900","33.00","26.000","2126.00"
"07/29/2024","64.00","26.000","33.40","26.150","2108.00"
"07/26/2024","63.95","25.900","33.95","26.400","2124.00"
"07/25/2024","63.80","25.600","33.70","26.150","2114.00"
"07/23/2024","63.80","25.800","34.00","26.050","2100.00"
"07/22/2024","63.80","26.200","34.00","26.050","2062.00"
"07/19/2024","64.10","26.200","34.40","26.000","2090.00"
"07/18/2024","64.10","26.350","34.50","26.000","2090.00"
"07/17/2024","64.00","25.600","34.50","25.700","2060.00"
"07/16/2024","65.05","25.500","34.25","26.150","2092.00"
"07/15/2024","65.30","25.500","34.35","26.300","2110.00"
"07/12/2024","65.00","25.300","33.90","26.300","2128.00"
"07/11/2024","63.00","25.500","33.65","27.400","2150.00"
"07/10/2024","62.90","24.450","33.05","26.200","2100.00"
"07/09/2024","62.85","24.700","34.10","26.950","2124.00"
"07/08/2024","62.75","24.850","33.00","27.000","2082.00"
"07/05/2024","63.00","24.750","32.95","26.700","2110.00"
"07/04/2024","63.00","24.750","32.65","27.150","2134.00"
"07/03/2024","63.20","24.650","33.00","27.300","2120.00"
"07/02/2024","62.70","24.250","32.40","26.800","2080.00"
"07/01/2024","62.90","24.200","33.80","27.700","2088.00"
"06/28/2024","62.90","24.200","33.90","27.300","2100.00"
"06/27/2024","63.00","24.450","34.20","27.750","2090.00"
"06/26/2024","62.60","24.000","34.35","27.900","2050.00"
"06/25/2024","65.15","24.550","34.10","27.450","2008.00"
"06/24/2024","66.15","24.700","34.50","27.000","1975.00"
"06/21/2024","66.15","24.850","34.40","26.800","1928.00"
"06/20/2024","67.45","24.750","34.35","26.900","1993.00"
"06/19/2024","67.40","24.850","34.20","26.400","1979.00"
"06/18/2024","67.75","24.850","33.90","26.900","1995.00"
"06/14/2024","67.60","24.850","34.60","26.850","1990.00"
"06/13/2024","68.35","24.800","34.70","25.850","1990.00"
"06/11/2024","69.90","24.800","34.50","26.200","1985.00"
"06/10/2024","69.80","24.750","34.80","26.300","1994.00"
"06/07/2024","70.00","24.900","34.95","26.850","2004.00"
"06/06/2024","70.00","25.150","35.00","26.250","1995.00"
"06/05/2024","69.60","24.700","33.80","25.550","1977.00"
"06/04/2024","69.45","24.950","33.90","26.050","1949.00"
"06/03/2024","70.50","24.850","34.00","26.900","1941.00"
"05/31/2024","73.70","25.200","34.10","27.800","1970.00"
"05/30/2024","68.90","23.950","33.95","26.000","1910.00"
